nummer,naam stier,gebjr,run nummer,basis,kicode,owner,base,rel NVI,NVI,source production,rel Inet,dochters productie,milk,fat,protein,lactose,rel milk,rel fat,rel prot,rel lact,source dmi,daughters dmi,rel dmi direct,rel dmi incl voorspellers,rel bvo,rel bvk,dmi direct,dmi incl voorspellers,FSM,FSCM,bvo obv selectieindex,rel bvo new,diff bvo
HOLDEUM001306189564,LAZARO,2020,241,1,783693,IM03,2024HC,69,191,G,72,0,973,45,51,50,78,78,72,81,G,0,47,72,50,50,113,240,-49,-48,-48,50,-1
HOLNLDM000673516954,DELTA STORMER,2022,241,1,942941,CO60,2024HC,70,258,G,76,0,1538,59,64,76,83,81,76,76,G,0,48,73,51,51,81,237,19,18,0,51,19
HOLNLDM000444096917,DELTA NASA,2006,241,1,977924,CO60,2024HC,91,-167,E,96,180,-513,-46,-32,-19,97,97,96,97,E,0,55,77,61,61,-90,-176,30,29,49,61,-19
HOLNLDM000684617547,DELTA SHELTER,2018,241,1,942097,CO60,2024HC,91,102,E,`,508,627,21,17,37,97,97,96,97,E,2,50,76,60,60,31,109,-15,-15,-20,60,5
HOLNLDM000634763225,HARPET SEM,2022,241,1,942939,CO60,2024HC,70,224,G,75,0,1885,50,53,97,82,81,75,75,G,0,49,73,51,51,132,286,-42,-41,-39,51,-3
HOLNLDM000534083009,SKALSUMER HUGO,2010,241,1,940450,CO60,2024HC,90,-32,E,96,167,58,13,2,1,97,97,96,97,E,0,54,77,61,61,4,13,17,16,9,61,8
HOLNLDM000484909592,KEESOM DELTA TIPPER,2007,241,1,978780,CO60,2024HC,89,-159,E,95,111,406,-34,-3,23,96,96,95,96,E,0,55,77,61,61,-14,-27,-27,-26,-8,61,-19
HOLNLDM000694704392,WILLEM'S-HOEVE WILLEM'S HOEVE,2009,241,1,940051,CO60,2024HC,92,-118,E,97,228,-1005,-26,-18,-43,98,98,97,98,E,0,54,77,61,61,-167,-172,62,60,57,61,5
HOLNLDM000444096296,DELTA PARADOX,2006,241,1,978099,CO60,2024HC,89,-264,E,95,129,-213,-26,-26,-15,96,96,95,96,E,0,54,77,61,61,-45,-109,14,14,28,61,-14
HOLNLDM000734278627,DELTA TITANIUM,2010,241,1,940429,CO60,2024HC,98,12,E,99,15014,74,6,-8,0,99,99,99,99,E,43,82,87,76,76,18,21,-17,-16,-12,76,-5
HOLNLDM000934345138,DELTA TRADING,2011,241,1,940710,CO60,2024HC,91,-59,E,97,199,-488,-22,-7,-12,97,97,97,97,E,2,54,77,61,61,-44,-5,-59,-57,-38,61,-21
HOLNLDM000474824951,DELTA OPPONENT,2006,241,1,978021,CO60,2024HC,90,-290,E,96,146,42,-51,-19,0,97,97,96,97,E,0,51,76,60,60,-6,-122,-4,-4,21,60,-25
HOLNLDM000474825675,DELTA RANDALL,2007,241,1,978207,CO60,2024HC,88,-257,E,94,100,-982,-69,-49,-49,96,96,94,96,E,0,51,76,59,59,-88,-209,-29,-28,14,59,-43
HOLNLDM000574933977,DELTA WAKE UP,2020,241,1,942452,CO60,2024HC,78,192,G,83,0,-16,60,27,-4,88,87,83,87,G,0,51,74,54,54,-25,81,69,67,26,54,43
HOLNLDM000484345727,SCHOONHOVEN TRIAS,2007,241,1,978824,CO60,2024HC,78,-120,G,83,0,152,-24,8,0,88,87,83,81,G,0,54,75,55,55,-58,-103,61,59,51,55,10
HOLNLDM000694776043,MIDWOLDER GOLDMAR,2009,241,1,940118,CO60,2024HC,97,28,E,99,8221,-69,13,4,6,99,99,99,99,E,8,65,81,67,67,-61,-18,55,53,41,67,14
HOLNLDM000474998751,DELTA PARABUL,2006,241,1,978072,CO60,2024HC,91,-254,E,96,172,-490,-74,-23,-18,97,97,96,97,E,0,49,76,60,60,-149,-148,-46,-45,-7,60,-39
HOLDEUM000124781669,SIR PP,2022,241,1,785252,KI34,2024HC,68,181,G,74,0,1168,56,51,57,81,80,74,74,G,0,47,72,50,50,54,189,31,30,8,50,23
HOLFRAM008562700125,JACKSONMAN,2014,241,1,769003,IM53,2024HC,76,-19,G,82,0,-129,3,-1,-4,87,86,82,80,G,0,49,74,54,54,74,47,-45,-44,-34,54,-11
HOLNLDM000584255191,ETAZON DIJS LUCIO,2010,241,1,940378,CO60,2024HC,92,-45,E,97,195,-332,-16,-17,-22,98,97,97,97,E,0,55,77,61,61,-53,-120,50,49,48,61,2
HOLNLDM000394346135,ZAEMSLACH JUNO,2005,241,1,36666,KI36,2024HC,97,-19,D,99,3377,-90,6,1,10,99,99,99,99,D,5,52,77,62,62,-76,6,16,16,13,62,3
HOLUSAM000137477179,BURKET-FALLS SIGNIFICANT,2006,241,1,765266,CO60,2024HC,84,-190,J,89,0,430,-11,-16,31,92,91,89,89,J,0,41,73,54,54,-48,-12,-1,-1,9,54,-10
HOLDEUM000364055926,GPS PP,2022,241,1,784981,IM41,2024HC,67,175,G,73,0,1712,51,49,77,81,79,73,74,G,0,47,72,50,50,102,277,-53,-51,-46,50,-7
HOLNLDM000484012061,ETAZON TOMORROW,2007,241,1,978502,CO60,2024HC,77,-164,G,82,0,51,-49,-24,3,87,86,82,80,G,0,50,74,54,54,-4,-114,-11,-11,8,54,-19
HOLNLDM000754184919,SKALSUMER SYLVAIN,2012,241,1,940941,CO60,2024HC,90,-49,E,96,185,-197,5,-8,-9,97,97,96,97,E,0,51,76,60,60,126,21,-27,-26,-19,60,-8
HOLNLDM000484994985,VALKENHOFF FREEWAY,2007,241,1,39455,KI39,2024HC,88,-280,E,95,105,-477,-30,-19,-35,96,96,95,96,E,0,51,76,59,59,-55,-122,9,9,19,59,-10
HOLNLDM000924308114,GODEWIND,2012,241,1,780166,IM74,2024HC,90,-46,E,96,250,-174,-26,-40,-16,97,97,96,97,E,0,49,76,60,60,-74,-127,17,16,40,60,-23
HOLDEUM000364274933,MAHJONG,2022,241,1,784513,IM03,2024HC,67,225,G,72,0,2357,86,66,110,80,78,72,73,G,0,47,72,49,49,203,389,-45,-44,-47,49,2
HOLNLDM000734247278,JHS PARADISE,2011,241,1,940771,CO60,2024HC,93,50,E,98,275,1461,8,13,69,98,98,98,98,E,0,55,77,61,61,20,53,37,36,32,61,5
HOLNLDM000484229692,DELTA RIVER,2007,241,1,978319,CO60,2024HC,80,-10,G,85,0,-1079,-42,-26,-60,89,88,85,82,G,1,47,74,54,54,-221,-304,137,133,114,54,23
HOLCZEM000725148021,ZDISLAVICE SNOOPY,2013,241,1,941369,CO60,2024HC,75,-23,J,78,0,902,5,3,54,84,83,78,85,J,0,49,73,52,52,-62,-71,131,127,97,52,34
HOLNLDM000644364014,BIG BROTHER,2009,241,1,940121,CO60,2024HC,91,-289,E,96,185,-852,-72,-36,-45,97,97,96,97,E,0,52,76,60,60,48,-94,-133,-129,-71,60,-62
HOLNLDM000494094916,JET PARKER,2008,241,1,39495,KI39,2024HC,91,-193,E,97,218,-124,-22,-12,-2,98,97,97,97,E,0,51,76,60,60,3,-113,53,51,53,60,0
HOLNLDM000494318520,MILLSTREAM CALVADOS,2008,241,1,978933,CO60,2024HC,89,-196,E,95,139,-404,-48,-13,-26,96,96,95,96,E,0,53,77,61,61,-75,-112,-24,-23,-4,61,-20
HOLNLDM000534476216,DELTA BOCELLI,2010,241,1,940544,CO60,2024HC,92,66,E,97,179,-2,8,3,-11,98,98,97,98,E,4,57,78,63,63,-68,-56,66,64,46,63,20
HOLFRAM005502314160,MR ROSCO,2016,241,1,781127,IM53,2024HC,79,-42,G,86,0,230,-6,-6,13,89,89,86,89,G,0,48,74,55,55,41,68,-76,-74,-51,55,-25
HOLNLDM000884134772,LOWLANDS IMPULSIVE,2011,241,1,940704,CO60,2024HC,92,-152,E,97,206,-859,-25,-17,-31,98,97,97,98,E,4,59,78,62,62,50,-27,-70,-68,-45,62,-25
HOLNLDM000474328282,WILLEM'S HOEVE R PARIS,2006,241,1,978086,CO60,2024HC,89,-278,E,95,125,-647,-69,-40,-31,96,96,95,96,E,0,51,76,59,59,-139,-219,6,6,39,59,-33
HOLFRAM008562704176,FRANCO MAN,2010,241,1,767438,IM53,2024HC,83,17,J,85,0,681,16,22,29,89,88,85,88,J,0,50,75,56,56,69,76,6,6,-3,56,9
HOLFRAM004242543548,POMMOCUM,2016,241,1,781224,IM53,2024HC,81,55,J,83,0,-106,33,5,-13,89,87,83,87,J,0,51,75,55,55,57,137,-74,-72,-66,55,-8
HOLDEUM001265310822,BENARES P,2014,241,1,769080,IM74,2024HC,82,-8,E,89,26,268,-11,4,9,92,91,89,91,E,1,48,74,56,56,-63,-44,33,32,27,56,6
HOLDEUM000364214905,RIOS P,2022,241,1,785250,IM03,2024HC,67,257,G,73,0,1188,56,45,57,81,79,73,74,G,0,47,72,50,50,142,231,-18,-17,-25,50,7
HOLNLDM000725756121,HOLBRA DG CHARAS,2015,241,1,769433,IM90,2024HC,81,40,E,88,24,-612,-2,-13,-23,91,90,88,90,E,0,48,74,55,55,-73,-149,111,108,84,55,27
HOLNLDM000634723476,CATHARINAS GEN MAN-CITY,2022,241,1,785484,IM41,2024HC,67,200,G,73,0,345,93,39,16,80,79,73,73,G,0,47,72,50,50,44,162,87,84,35,50,52
HOLNLDM000895652300,CAPNATION BENELLO,2016,241,1,941840,CO60,2024HC,93,238,E,98,520,554,25,22,29,99,99,98,99,E,0,50,76,61,61,7,41,59,57,31,61,28
HOLNLDM000744377150,DELTA JAMAICA,2012,241,1,941026,CO60,2024HC,90,21,E,96,150,63,23,-8,17,97,97,96,97,E,0,53,77,61,61,78,46,8,8,8,61,0
HOLUSAM003238997206,LADYS-MANOR ONSTAGE,2021,241,1,942751,CO60,2024HC,68,226,G,74,0,1109,82,41,55,81,79,74,74,G,0,47,72,50,50,-39,108,154,149,86,50,68
HOLUSAM003238997220,LADYS-MANOR TONE,2021,241,1,942718,CO60,2024HC,67,173,G,73,0,735,58,32,33,81,79,73,74,G,0,47,72,50,50,-44,71,112,109,63,50,49
HOLNLDM000534580771,HIDDEN DESTINY,2009,241,1,940229,CO60,2024HC,86,-131,E,93,59,-310,14,-7,-15,94,94,93,94,E,0,52,76,59,59,-11,-54,63,61,45,59,18
HOLDEUM000124167904,HAS PESSOA,2021,241,1,784459,KI34,2024HC,68,296,G,74,0,1811,75,60,83,81,80,74,74,G,0,47,72,50,50,56,225,66,64,28,50,38
HOLNLDM000685695296,PEAK TOSCO,2017,241,1,784003,IM74,2024HC,83,234,J,90,0,663,62,26,37,92,92,90,89,J,0,48,75,57,57,6,108,81,79,38,57,43
HOLNLDM000865720329,VEKIS DG DELTA,2017,241,1,781214,IM90,2024HC,78,141,J,83,0,1328,23,29,55,87,86,83,86,J,0,49,74,54,54,0,56,70,68,43,54,27
HOLNLDM000664478948,ZANDENBURG FURY,2016,241,1,941818,CO60,2024HC,97,27,E,99,2542,48,-8,14,-7,99,99,99,99,E,24,74,83,70,70,-85,-65,57,55,39,70,18
HOLNLDM000575858912,HOOGSTRATEN RICOCHET,2022,241,1,942858,CO60,2024HC,70,175,G,76,0,539,53,41,33,83,81,76,76,G,0,49,73,51,51,85,251,-69,-67,-62,51,-7
HOLNLDM000885849435,PASTORS BOUW FLOWER POWER,2012,241,1,940887,CO60,2024HC,91,13,E,96,162,255,13,9,18,97,97,96,97,E,0,53,77,61,61,61,69,-17,-16,-18,61,1
HOLNLDM000865710894,MIDWOLDER MARTIN,2017,241,1,942046,CO60,2024HC,93,205,E,97,1257,1985,56,64,82,97,97,97,97,E,22,69,81,66,66,114,212,43,42,5,66,38
HOLNLDM000613536745,DELTA PRINCIPAL PP,2022,241,1,942869,CO60,2024HC,70,215,G,76,0,1127,52,42,66,82,81,76,75,G,0,51,73,51,51,111,243,-33,-32,-35,51,2
HOLUSAM003238997213,LADYS-MANOR OUT TUCKER,2021,241,1,942754,CO60,2024HC,67,167,G,73,0,1115,49,37,52,81,79,73,74,G,0,47,72,50,50,11,86,100,97,58,50,42
HOLNLDM000605729609,SIOUX FLEXLINE,2010,241,1,940592,CO60,2024HC,78,-107,G,83,0,-55,-2,-1,-15,88,87,83,81,G,0,52,75,55,55,-31,14,-32,-31,-23,55,-9
HOLUSAM003137164748,EMPEROR,2016,241,1,780341,IM03,2024HC,82,76,E,89,31,735,-8,12,51,92,91,89,92,E,0,48,74,56,56,-12,49,-9,-9,-3,56,-6
HOLNLDM000674527779,RETRAITEHOEVE HERO,2017,241,1,781054,IM01,2024HC,85,203,E,92,105,1345,62,58,75,94,94,92,94,E,0,49,75,58,58,33,211,44,43,0,58,44
HOLNLDM000715952290,TOPSTONE,2017,241,1,781525,IM03,2024HC,86,220,E,93,208,1503,47,46,80,95,94,93,95,E,1,40,73,55,55,128,229,-14,-14,-35,55,21
HOLUSAM000137804641,CORDES-MAID STONEWALL,2006,241,1,766034,KI56,2024HC,97,-70,E,99,9527,-608,-26,-21,-18,99,99,99,99,E,4,59,79,64,64,7,-57,-35,-34,-12,64,-23
HOLNLDM000385685548,DELTA HOTSTUFF,2005,241,1,977226,CO60,2024HC,89,-134,E,95,99,-1243,-35,-29,-47,96,96,95,96,E,0,52,76,59,59,-184,-252,108,105,100,59,8
HOLDEUM000355438176,RR ALTARAMROCK,2012,241,1,772038,KI77,2024HC,80,-45,J,84,0,989,-28,-3,48,88,87,84,87,J,0,51,74,54,54,27,-36,16,16,25,54,-9
HOLNLDM000605754050,LOWLANDS LEADER,2010,241,1,940484,CO60,2024HC,91,-214,E,97,189,-23,-10,-11,1,97,97,97,97,E,0,53,77,61,61,-28,-37,5,5,13,61,-8
HOLNLDM000865099887,DELTA BOOSTER,2008,241,1,978971,CO60,2024HC,79,-76,G,84,0,76,-8,12,-3,88,87,84,81,G,0,55,76,56,56,49,-31,24,23,20,56,4
HOLNLDM000475854151,DELTA PAPERBACK,2006,241,1,978077,CO60,2024HC,90,-216,E,96,170,-216,-59,-29,-14,97,97,96,97,E,0,51,76,60,60,-65,-158,-8,-8,23,60,-31
HOLNLDM000875052876,BELISAR,2014,241,1,780657,IM74,2024HC,81,58,J,88,0,340,10,-3,19,91,90,88,89,J,0,52,75,56,56,-57,24,10,10,7,56,3
HOLUSAM003138948148,AURORA ALTAANTONIO,2016,241,1,780590,KI77,2024HC,93,133,E,98,618,631,53,36,35,98,98,98,98,E,0,48,76,60,60,124,187,-8,-8,-36,60,28
HOLUSAM003218556335,SIEMERS TICTOC,2021,241,1,942628,CO60,2024HC,70,156,G,76,0,1562,82,46,74,82,81,76,75,G,0,47,72,50,50,128,213,70,68,27,50,43
HOLUSAM003138499025,PEAK JUSTIFY,2017,241,1,942011,CO60,2024HC,78,47,J,85,0,381,18,12,14,89,88,85,87,J,0,48,74,55,55,-6,6,56,54,34,55,22
HOLNLDM000575896563,EASTLAND ALAJA,2021,241,1,391070,KI39,2024HC,73,172,G,79,0,1095,58,34,48,85,83,79,78,G,0,49,73,52,52,107,178,20,19,-2,52,22
HOLNLDM000885037511,DELTA CAMELOT PP,2023,241,1,943043,CO60,2024HC,68,286,G,74,0,1492,61,60,79,82,80,74,75,G,0,48,72,50,50,68,238,21,20,0,50,21
HOLNLDM000535413120,BARNKAMPER ZEUS,2010,241,1,940310,CO60,2024HC,77,-112,G,82,0,-740,-25,-24,-38,87,86,82,80,G,0,53,75,55,55,42,-32,-78,-76,-50,55,-28
HOLDEUM001505012806,GURU ALH IBIZIANA ET,2019,241,1,783382,,2024HC,73,192,G,79,0,1980,47,49,105,85,83,79,78,G,0,49,73,52,52,159,265,-25,-24,-29,52,4
HOLDEUM000815921988,BOSARNA ET,2014,241,1,769643,KI34,2024HC,83,13,J,90,0,468,-22,4,19,92,91,90,89,J,0,49,75,57,57,-15,-31,6,6,11,57,-5
HOLNLDM000525056357,LUDIEK BLUEJAY,2008,241,1,940021,CO60,2024HC,97,-98,E,99,4391,-36,-2,8,-8,99,99,99,99,E,9,69,82,68,68,-8,-16,13,13,5,68,8
HOLNLDM000495540023,LOWLANDS PARACHUTE,2008,241,1,979931,CO60,2024HC,91,-136,E,96,150,-513,-11,-18,-32,97,97,96,97,E,0,56,78,62,62,-48,-123,53,51,49,62,4
HOLNLDM000615805298,LIMERICK,2022,241,1,391086,KI39,2024HC,74,170,G,79,0,1108,63,36,66,85,84,79,78,G,0,50,74,53,53,194,267,-41,-40,-46,53,5
HOLNLDM000885344086,DELTA JAYHAWK,2012,241,1,941018,CO60,2024HC,90,65,E,96,143,1,-7,-18,-4,97,97,96,97,E,1,48,75,59,59,-62,-54,17,16,25,59,-8
HOLNLDM000745811471,DELTA UNIVERSE P,2022,241,1,942899,CO60,2024HC,70,314,G,75,0,1881,103,85,98,82,81,75,75,G,0,50,73,51,51,91,310,79,77,31,51,48
HOLNLDM000485550810,HEUVEL ATLANTA,2008,241,1,979945,CO60,2024HC,90,-196,E,96,128,-103,-22,-12,-17,97,96,96,96,E,0,54,77,61,61,53,-48,-25,-24,-10,61,-15
HOLCANM000106282460,VAL-BISSON MORNING,2010,241,1,768311,IM75,2024HC,85,-200,J,89,0,318,-40,-29,22,92,91,89,89,J,0,50,75,57,57,-46,-130,35,34,46,57,-11
HOLDEUM000355203318,PLATIN,2011,241,1,767087,VL06,2024HC,81,-57,E,88,18,417,-11,7,27,91,90,88,90,E,0,49,75,56,56,57,-14,22,21,20,56,2
HOLDEUM000815602946,MODECO,2014,241,1,768702,IM90,2024HC,83,4,J,90,0,1364,4,9,73,93,92,90,90,J,0,48,74,56,56,32,17,64,62,49,56,15
HOLNLDM000425445880,4588 DELTA HAZENHURK 1,2009,241,1,82612,,2024HC,88,-11,G,94,0,151,7,-6,-1,95,95,94,95,G,0,54,77,60,60,-1,-54,61,59,48,60,13
HOLUSAM003228764396,COOKIECUTTER COLUMBO,2021,241,1,942849,CO60,2024HC,68,251,G,74,0,1332,89,54,62,81,79,74,74,G,0,47,72,50,50,52,269,27,26,-4,50,31
HOLNLDM000765253840,SUDENA KIPARRA,2012,241,1,39711,KI39,2024HC,84,-168,E,91,56,-806,-26,-33,-33,93,93,91,93,E,0,50,75,57,57,-97,-159,41,40,48,57,-7
HOLNLDM000486672331,ALLORA WISHBONE,2008,241,1,978962,CO60,2024HC,91,-242,E,96,175,-226,-9,-10,-23,97,97,96,97,E,0,54,77,61,61,-22,-132,83,81,68,61,15
HOLNLDM000425596304,DELTA KEYLARGO,2005,241,1,977431,CO60,2024HC,90,-165,E,96,124,-1130,-46,-38,-47,97,96,96,96,E,0,52,76,59,59,-155,-248,71,69,79,59,-8
HOLNLDM000876695418,DELTA RAFTER P,2014,241,1,941389,CO60,2024HC,94,41,E,99,435,-655,-19,-6,-26,99,99,99,99,E,2,51,77,62,62,-9,-86,18,17,16,62,2
HOLNLDM000645598690,DELTA SPACEMAN,2013,241,1,941185,CO60,2024HC,91,-81,E,97,177,309,-10,-2,9,97,97,97,97,E,2,49,76,60,60,-15,-16,1,1,6,60,-5
HOLNLDM000465480535,GANVO RIVER,2007,241,1,978574,CO60,2024HC,89,-127,E,95,117,-380,-56,-37,-14,96,96,95,96,E,0,56,77,61,61,-127,-243,75,73,89,61,-14
HOLBELM000118490129,VENDAIRY WATCHMAN,2017,241,1,942020,CO60,2024HC,92,171,E,97,584,998,53,47,52,98,98,97,98,E,0,53,77,61,61,117,232,-27,-26,-53,61,26
HOLNLDM000595287732,DELTA LORRY P,2022,241,1,942862,CO60,2024HC,70,202,G,75,0,788,31,40,42,82,81,75,75,G,0,49,73,51,51,133,209,-66,-64,-53,51,-13
HOLUSAM003129104036,SAINTVILLE MONTANA SKY,2016,241,1,941911,CO60,2024HC,76,43,J,84,0,356,27,10,7,88,87,84,87,J,0,48,74,54,54,103,98,-25,-24,-28,54,3
HOLSWEM000000048982,VH ERSMARK STERNGOLD SPRITE,2012,241,1,767910,IM65,2024HC,87,-6,E,92,40,-579,-44,-29,-20,94,94,92,94,E,0,51,75,58,58,22,-122,-18,-17,9,58,-27
HOLUSAM003208782876,TERRA-LINDA GAOCHAN,2020,241,1,942613,CO60,2024HC,70,221,G,76,0,2575,80,72,119,82,81,76,75,G,0,47,72,50,50,83,278,67,65,28,50,39
HOLNLDM000895405603,KING'S COURT ASTON,2009,241,1,940239,CO60,2024HC,77,-131,G,82,0,-1112,-31,-34,-62,87,86,82,80,G,0,51,74,54,54,-62,-160,6,6,14,54,-8
HOLUSAM003238808327,PEAK HIGHSTAKES,2021,241,1,942797,CO60,2024HC,66,226,G,72,0,1611,123,72,74,80,78,72,73,G,0,47,72,49,49,239,396,0,0,-29,49,29
HOLNLDM000486745006,TORENZICHT SIROCCO,2007,241,1,978632,CO60,2024HC,88,-227,E,94,89,-428,-62,-43,-14,95,95,94,95,E,0,51,76,59,59,-190,-197,10,10,42,59,-32
HOLNLDM000886710435,HBC PRINCE,2009,241,1,940162,CO60,2024HC,77,-166,G,82,0,-421,-37,-31,-30,87,86,82,80,G,0,51,74,54,54,-41,-136,0,0,12,54,-12
HOLNLDM000886760207,TOPSTEEN TERRIFIC,2010,241,1,940434,CO60,2024HC,92,-52,E,97,233,-768,4,0,-33,98,98,97,98,E,0,52,77,61,61,-42,-51,31,30,16,61,15
HOLDEUM000355681255,MIKKEL,2013,241,1,768049,IM03,2024HC,79,28,G,86,0,675,22,10,34,89,89,86,82,G,0,48,74,54,54,-3,109,-23,-22,-24,54,1
HOLNLDM000425596380,PLATAAN LAMBADA,2005,241,1,977497,CO60,2024HC,90,-203,E,96,176,277,-7,-14,11,97,97,96,97,E,0,53,77,61,61,55,39,-59,-57,-34,61,-25
HOLUSAM003129016394,PEAK SAUL-ET,2015,241,1,941745,CO60,2024HC,79,-4,J,84,0,618,32,6,29,88,87,84,87,J,0,48,74,54,54,111,94,4,4,-5,54,9
HOLNLDM000596960625,DE WIJDE BLIK BETT,2022,241,1,391082,KI39,2024HC,71,143,G,77,0,524,80,33,29,83,82,77,76,G,0,48,73,51,51,214,331,-104,-101,-96,51,-8
HOLUSAM000069087184,VIEW-HOME MCC BETA-ET,2013,241,1,941401,CO60,2024HC,79,10,J,84,0,673,4,10,22,88,87,84,87,J,0,50,74,54,54,60,45,-7,-7,-7,54,0
HOLNLDM000466785486,AURORA PAWNEE,2006,241,1,978374,CO60,2024HC,89,-147,E,95,123,-477,-9,-16,-12,96,96,95,96,E,0,51,76,59,59,-46,-86,40,39,39,59,1
HOLNLDM000866755670,KIK EMOTION,2015,241,1,39806,KI39,2024HC,90,-22,E,96,145,-21,-16,-20,0,97,97,96,97,E,0,48,75,59,59,-79,-123,68,66,69,59,-1
HOLNLDM000946000131,MARWIL WAKE UP,2014,241,1,39797,KI39,2024HC,89,-8,E,95,118,425,-14,9,13,96,96,95,96,E,0,49,75,58,58,-35,-45,37,36,29,58,8
HOLNLDM000475998017,DELTA RAIMON,2007,241,1,978213,CO60,2024HC,92,-246,E,97,222,-294,-51,-19,-27,98,98,97,98,E,0,50,76,60,60,-23,-102,-48,-47,-18,60,-30
HOLNLDM000726788675,HOL-STIENS BOLERO ET,2010,241,1,766775,KI22,2024HC,79,-187,J,83,0,-653,-52,-35,-28,87,86,83,86,J,0,49,74,54,54,-49,-144,-26,-25,1,54,-27
HOLDEUM000355165348,BUBE ET,2011,241,1,767138,IM74,2024HC,93,48,E,98,228,1202,2,12,55,98,98,98,98,E,2,52,77,61,61,-79,-43,107,104,86,61,21
HOLDEUM000356477983,DAVOS,2013,241,1,768000,IM90,2024HC,84,49,E,91,55,821,-2,9,36,93,93,91,93,E,0,48,75,57,57,-20,61,-25,-24,-17,57,-8
HOLUSAM003239114885,PEAK ZYMURGY,2021,241,1,942850,CO60,2024HC,67,307,G,73,0,980,101,49,47,81,79,73,74,G,0,47,72,50,50,77,200,103,100,45,50,58
HOLFRAM006114353802,MUSTEER,2016,241,1,781448,IM53,2024HC,78,29,E,85,24,207,10,1,9,89,88,85,88,E,0,48,74,55,55,-53,11,19,18,11,55,8
HOLNLDM000935599868,DELTA PROFESSOR,2021,241,1,942590,CO60,2024HC,76,221,G,81,0,243,23,27,17,86,85,81,79,G,0,50,74,53,53,-70,16,75,73,47,53,28
HOLNLDM000466704986,KING'S COURT DENNIS,2007,241,1,978831,CO60,2024HC,89,-288,E,95,115,-461,-50,-36,-25,96,96,95,96,E,0,52,76,59,59,-2,-125,-39,-38,-2,59,-37
HOLNLDM000575284984,DELTA WONDERFUL P,2022,241,1,942979,CO60,2024HC,70,216,G,76,0,510,42,31,22,83,81,76,76,G,0,49,73,51,51,118,199,-60,-58,-53,51,-7
HOLNLDM000725547400,DE  PETTERSHOEVE FULL PULL,2020,241,1,391008,KI39,2024HC,78,102,G,83,0,104,2,13,3,87,86,83,80,G,0,54,75,55,55,62,33,-12,-12,-10,55,-2
HOLNLDM000486844961,TORENZICHT WALLSTREET,2007,241,1,39469,KI39,2024HC,88,-264,E,94,99,-904,-70,-45,-21,95,95,94,95,E,0,51,76,59,59,-1,-145,-67,-65,-14,59,-53
HOLDEUM000666493155,COME ON,2015,241,1,769575,KI34,2024HC,91,-61,E,96,177,-264,32,7,-4,97,97,96,97,E,0,49,76,60,60,116,136,-65,-63,-63,60,-2
HOLDEUM000356563083,GARANT,2013,241,1,768260,IM90,2024HC,85,-11,E,92,65,1041,24,9,41,94,93,92,94,E,0,49,75,57,57,-33,76,19,18,9,57,10
HOLNLDM000575896556,EASTLAND AMIGO,2021,241,1,391069,KI39,2024HC,73,178,G,79,0,770,59,35,32,85,83,79,78,G,0,49,73,52,52,67,195,-7,-7,-23,52,16
HOLCANM000007816547,GILLETTE WILDTHING PB,2006,241,1,766014,IM90,2024HC,90,-153,E,94,93,413,-50,-14,-1,95,95,94,95,E,0,49,75,58,58,-138,-192,72,70,75,58,-3
HOLUSAM003009329221,TOLLENAARS INDIANA JONES,2012,241,1,941116,CO60,2024HC,78,-9,J,83,0,537,42,4,27,88,87,83,87,J,0,49,74,54,54,22,22,93,90,57,54,36
HOLNLDM000446125600,SLIJKHUIS MILLAR,2006,241,1,977863,CO60,2024HC,90,-257,E,96,152,346,-31,-7,16,97,96,96,96,E,0,51,76,59,59,-82,-97,39,38,44,59,-5
HOLUSAM003208782497,KINGS-RANSOM HJ DAPPER,2020,241,1,942604,CO60,2024HC,68,176,G,74,0,1192,93,39,59,81,79,74,74,G,0,47,72,50,50,37,173,113,110,54,50,59
HOLNLDM000476381838,WILLEM'S HOEVE STANDOUT,2007,241,1,978745,CO60,2024HC,77,-252,G,82,0,-180,-44,-22,-25,87,86,82,80,G,0,54,75,55,55,-112,-226,89,86,78,55,11
HOLBELM000618874898,LELIEHOEVE TITAN,2007,241,1,978815,CO60,2024HC,88,-194,E,94,90,-812,-49,-19,-48,96,95,94,95,E,0,51,76,59,59,-42,-184,20,19,31,59,-11
HOLFRAM002214546301,BINIC,2006,241,1,766912,IM53,2024HC,86,-69,I,93,59,-492,-40,-23,-22,94,94,93,86,I,0,27,71,52,52,-97,-195,68,66,68,52,0
HOLUSAM003149335089,PEAK MORANT,2018,241,1,942234,CO60,2024HC,78,155,G,85,0,589,82,44,26,89,88,85,89,G,0,47,74,55,55,11,147,93,90,34,55,59
HOLCHEM120157244941,MATTENHOF GRENADIER,2021,241,1,784437,IM03,2024HC,68,-21,G,74,0,886,11,3,44,81,80,74,74,G,0,47,72,50,50,73,147,-83,-81,-58,50,-25
HOLNLDM000486987057,AURORA WINNIPEG,2008,241,1,978965,CO60,2024HC,93,-193,E,98,298,-753,-6,-24,-38,98,98,98,98,E,0,54,77,61,61,-56,-55,-16,-16,-3,61,-13
HOLNLDM000446968447,MARINUSHOEVE TIGER,2006,241,1,978372,CO60,2024HC,76,-287,G,81,0,-364,-42,-23,-26,86,85,81,79,G,0,54,75,54,54,-131,-146,12,12,20,54,-8
